40
0 3 2 3 1 8 7 6 7 6 20 19 22 21 20 8 12 8 11 9 10 12 11 12 13 25 23 25 27 25 19 21 18 20 21 6 9 6 16 23 
3 0 1 4 2 5 4 5 4 3 17 16 19 18 17 5 9 7 8 6 9 11 10 11 12 22 20 22 24 22 16 18 15 17 18 5 8 3 15 20 
2 1 0 3 1 6 5 6 5 4 18 17 20 19 18 6 10 8 9 7 10 12 11 12 13 23 21 23 25 23 17 19 16 18 19 6 9 4 16 21 
3 4 3 0 4 7 6 9 8 7 19 18 21 20 19 9 11 11 10 8 13 15 14 15 16 24 22 24 26 24 18 20 17 19 20 9 12 5 19 22 
1 2 1 4 0 7 6 5 6 5 19 18 21 20 19 7 11 7 10 8 9 11 10 11 12 24 22 24 26 24 18 20 17 19 20 5 8 5 15 22 
8 5 6 7 7 0 1 2 1 2 12 11 14 13 12 2 4 4 3 1 6 8 7 8 9 17 15 17 19 17 11 13 10 12 13 4 5 4 12 15 
7 4 5 6 6 1 0 3 2 1 13 12 15 14 13 3 5 5 4 2 7 9 8 9 10 18 16 18 20 18 12 14 11 13 14 3 6 3 13 16 
6 5 6 9 5 2 3 0 1 2 14 13 16 15 14 2 6 2 5 3 4 6 5 6 7 19 17 19 21 19 13 15 12 14 15 2 3 6 10 17 
7 4 5 8 6 1 2 1 0 1 13 12 15 14 13 1 5 3 4 2 5 7 6 7 8 18 16 18 20 18 12 14 11 13 14 3 4 5 11 16 
6 3 4 7 5 2 1 2 1 0 14 13 16 15 14 2 6 4 5 3 6 8 7 8 9 19 17 19 21 19 13 15 12 14 15 2 5 4 12 17 
20 17 18 19 19 12 13 14 13 14 0 1 2 5 2 12 14 14 13 11 16 18 17 18 19 7 5 9 7 5 19 19 18 20 21 16 15 14 22 13 
19 16 17 18 18 11 12 13 12 13 1 0 3 4 1 11 13 13 12 10 15 17 16 17 18 6 4 8 8 6 18 18 17 19 20 15 14 13 21 12 
22 19 20 21 21 14 15 16 15 16 2 3 0 3 2 14 12 14 11 13 16 16 17 16 17 5 3 7 5 3 17 17 16 18 19 18 17 16 20 11 
21 18 19 20 20 13 14 15 14 15 5 4 3 0 3 13 9 13 10 12 15 13 16 15 14 4 2 4 6 4 14 14 13 15 16 17 16 15 17 8 
20 17 18 19 19 12 13 14 13 14 2 1 2 3 0 12 12 12 11 11 14 16 15 16 17 5 3 7 7 5 17 17 16 18 19 16 15 14 20 11 
8 5 6 9 7 2 3 2 1 2 12 11 14 13 12 0 4 2 3 1 4 6 5 6 7 17 15 17 19 17 11 13 10 12 13 4 3 6 10 15 
12 9 10 11 11 4 5 6 5 6 14 13 12 9 12 4 0 4 1 3 6 4 7 6 5 13 11 13 15 13 7 9 6 8 9 8 7 8 8 11 
8 7 8 11 7 4 5 2 3 4 14 13 14 13 12 2 4 0 3 3 2 4 3 4 5 17 15 17 19 17 11 13 10 12 13 4 3 8 8 15 
11 8 9 10 10 3 4 5 4 5 13 12 11 10 11 3 1 3 0 2 5 5 6 5 6 14 12 14 16 14 8 10 7 9 10 7 6 7 9 12 
9 6 7 8 8 1 2 3 2 3 11 10 13 12 11 1 3 3 2 0 5 7 6 7 8 16 14 16 18 16 10 12 9 11 12 5 4 5 11 14 
10 9 10 13 9 6 7 4 5 6 16 15 16 15 14 4 6 2 5 5 0 2 1 2 3 19 17 19 21 19 13 15 12 14 15 4 1 10 8 17 
12 11 12 15 11 8 9 6 7 8 18 17 16 13 16 6 4 4 5 7 2 0 3 2 1 17 15 17 19 17 11 13 10 12 13 6 3 12 6 15 
11 10 11 14 10 7 8 5 6 7 17 16 17 16 15 5 7 3 6 6 1 3 0 1 2 20 18 20 22 20 14 16 13 15 16 5 2 11 9 18 
12 11 12 15 11 8 9 6 7 8 18 17 16 15 16 6 6 4 5 7 2 2 1 0 1 19 17 19 21 19 13 15 12 14 15 6 3 12 8 17 
13 12 13 16 12 9 10 7 8 9 19 18 17 14 17 7 5 5 6 8 3 1 2 1 0 18 16 18 20 18 12 14 11 13 14 7 4 13 7 16 
25 22 23 24 24 17 18 19 18 19 7 6 5 4 5 17 13 17 14 16 19 17 20 19 18 0 2 2 2 2 12 12 11 13 14 21 20 19 15 6 
23 20 21 22 22 15 16 17 16 17 5 4 3 2 3 15 11 15 12 14 17 15 18 17 16 2 0 4 4 2 14 14 13 15 16 19 18 17 17 8 
25 22 23 24 24 17 18 19 18 19 9 8 7 4 7 17 13 17 14 16 19 17 20 19 18 2 4 0 2 4 10 10 9 11 12 21 20 19 13 4 
27 24 25 26 26 19 20 21 20 21 7 8 5 6 7 19 15 19 16 18 21 19 22 21 20 2 4 2 0 2 12 12 11 13 14 23 22 21 15 6 
25 22 23 24 24 17 18 19 18 19 5 6 3 4 5 17 13 17 14 16 19 17 20 19 18 2 2 4 2 0 14 14 13 15 16 21 20 19 17 8 
19 16 17 18 18 11 12 13 12 13 19 18 17 14 17 11 7 11 8 10 13 11 14 13 12 12 14 10 12 14 0 2 1 1 2 15 14 13 5 6 
21 18 19 20 20 13 14 15 14 15 19 18 17 14 17 13 9 13 10 12 15 13 16 15 14 12 14 10 12 14 2 0 3 1 2 17 16 15 7 6 
18 15 16 17 17 10 11 12 11 12 18 17 16 13 16 10 6 10 7 9 12 10 13 12 11 11 13 9 11 13 1 3 0 2 3 14 13 12 4 5 
20 17 18 19 19 12 13 14 13 14 20 19 18 15 18 12 8 12 9 11 14 12 15 14 13 13 15 11 13 15 1 1 2 0 1 16 15 14 6 7 
21 18 19 20 20 13 14 15 14 15 21 20 19 16 19 13 9 13 10 12 15 13 16 15 14 14 16 12 14 16 2 2 3 1 0 17 16 15 7 8 
6 5 6 9 5 4 3 2 3 2 16 15 18 17 16 4 8 4 7 5 4 6 5 6 7 21 19 21 23 21 15 17 14 16 17 0 3 6 10 19 
9 8 9 12 8 5 6 3 4 5 15 14 17 16 15 3 7 3 6 4 1 3 2 3 4 20 18 20 22 20 14 16 13 15 16 3 0 9 9 18 
6 3 4 5 5 4 3 6 5 4 14 13 16 15 14 6 8 8 7 5 10 12 11 12 13 19 17 19 21 19 13 15 12 14 15 6 9 0 16 17 
16 15 16 19 15 12 13 10 11 12 22 21 20 17 20 10 8 8 9 11 8 6 9 8 7 15 17 13 15 17 5 7 4 6 7 10 9 16 0 9 
23 20 21 22 22 15 16 17 16 17 13 12 11 8 11 15 11 15 12 14 17 15 18 17 16 6 8 4 6 8 6 6 5 7 8 19 18 17 9 0 
