100
0 3 3 5 2 4 5 3 2 4 3 1 6 1 11 9 10 8 10 7 9 8 7 9 10 6 12 8 8 9 5 10 6 7 6 8 9 8 8 7 11 7 9 12 12 13 12 11 15 10 11 13 14 14 10 12 18 17 16 16 14 13 17 19 18 15 16 15 15 14 16 16 17 17 17 16 18 14 19 17 15 15 18 18 21 22 17 19 23 20 21 20 20 20 19 19 18 18 3 12 
3 0 2 2 3 1 2 2 1 3 4 2 3 2 14 12 13 11 13 10 12 11 10 12 13 9 15 11 9 10 6 11 7 8 7 9 10 9 9 8 12 8 10 13 13 14 13 12 16 11 12 14 15 15 11 13 19 18 17 17 15 14 18 20 19 16 17 16 16 15 19 19 20 20 20 19 21 17 22 20 18 18 21 21 22 23 18 20 24 21 22 21 21 21 20 20 19 19 4 15 
3 2 0 4 5 3 2 4 3 5 6 4 3 2 14 12 13 11 13 10 12 11 10 12 13 9 15 11 11 12 8 13 9 10 9 11 12 11 11 10 14 10 12 15 15 16 15 14 18 13 14 16 17 17 13 15 21 20 19 19 17 16 20 22 21 18 19 18 18 17 19 19 20 20 20 19 21 17 22 20 18 18 21 21 24 25 20 22 26 23 24 23 23 23 22 22 21 21 6 15 
5 2 4 0 3 1 2 2 3 1 2 4 1 4 16 14 15 13 15 12 14 13 12 14 15 11 17 13 7 8 4 9 5 6 5 7 8 7 7 6 10 6 8 11 11 12 11 10 14 9 10 12 13 13 9 11 17 16 15 15 13 12 16 18 17 14 15 14 14 13 21 21 22 22 22 21 23 19 24 22 20 20 23 23 20 21 16 18 22 19 20 19 19 19 18 18 17 17 4 17 
2 3 5 3 0 2 3 1 2 2 1 1 4 3 13 11 12 10 12 9 11 10 9 11 12 8 14 10 6 7 3 8 4 5 4 6 7 6 6 5 9 5 7 10 10 11 10 9 13 8 9 11 12 12 8 10 16 15 14 14 12 11 15 17 16 13 14 13 13 12 18 18 19 19 19 18 20 16 21 19 17 17 20 20 19 20 15 17 21 18 19 18 18 18 17 17 16 16 1 14 
4 1 3 1 2 0 1 1 2 2 3 3 2 3 15 13 14 12 14 11 13 12 11 13 14 10 16 12 8 9 5 10 6 7 6 8 9 8 8 7 11 7 9 12 12 13 12 11 15 10 11 13 14 14 10 12 18 17 16 16 14 13 17 19 18 15 16 15 15 14 20 20 21 21 21 20 22 18 23 21 19 19 22 22 21 22 17 19 23 20 21 20 20 20 19 19 18 18 3 16 
5 2 2 2 3 1 0 2 3 3 4 4 1 4 16 14 15 13 15 12 14 13 12 14 15 11 17 13 9 10 6 11 7 8 7 9 10 9 9 8 12 8 10 13 13 14 13 12 16 11 12 14 15 15 11 13 19 18 17 17 15 14 18 20 19 16 17 16 16 15 21 21 22 22 22 21 23 19 24 22 20 20 23 23 22 23 18 20 24 21 22 21 21 21 20 20 19 19 4 17 
3 2 4 2 1 1 2 0 1 1 2 2 3 2 14 12 13 11 13 10 12 11 10 12 13 9 15 11 7 8 4 9 5 6 5 7 8 7 7 6 10 6 8 11 11 12 11 10 14 9 10 12 13 13 9 11 17 16 15 15 13 12 16 18 17 14 15 14 14 13 19 19 20 20 20 19 21 17 22 20 18 18 21 21 20 21 16 18 22 19 20 19 19 19 18 18 17 17 2 15 
2 1 3 3 2 2 3 1 0 2 3 1 4 1 13 11 12 10 12 9 11 10 9 11 12 8 14 10 8 9 5 10 6 7 6 8 9 8 8 7 11 7 9 12 12 13 12 11 15 10 11 13 14 14 10 12 18 17 16 16 14 13 17 19 18 15 16 15 15 14 18 18 19 19 19 18 20 16 21 19 17 17 20 20 21 22 17 19 23 20 21 20 20 20 19 19 18 18 3 14 
4 3 5 1 2 2 3 1 2 0 1 3 2 3 15 13 14 12 14 11 13 12 11 13 14 10 16 12 6 7 3 8 4 5 4 6 7 6 6 5 9 5 7 10 10 11 10 9 13 8 9 11 12 12 8 10 16 15 14 14 12 11 15 17 16 13 14 13 13 12 20 20 21 21 21 20 22 18 23 21 19 19 22 22 19 20 15 17 21 18 19 18 18 18 17 17 16 16 3 16 
3 4 6 2 1 3 4 2 3 1 0 2 3 4 14 12 13 11 13 10 12 11 10 12 13 9 15 11 5 6 2 7 3 4 3 5 6 5 5 4 8 4 6 9 9 10 9 8 12 7 8 10 11 11 7 9 15 14 13 13 11 10 14 16 15 12 13 12 12 11 19 19 20 20 20 19 21 17 22 20 18 18 21 21 18 19 14 16 20 17 18 17 17 17 16 16 15 15 2 15 
1 2 4 4 1 3 4 2 1 3 2 0 5 2 12 10 11 9 11 8 10 9 8 10 11 7 13 9 7 8 4 9 5 6 5 7 8 7 7 6 10 6 8 11 11 12 11 10 14 9 10 12 13 13 9 11 17 16 15 15 13 12 16 18 17 14 15 14 14 13 17 17 18 18 18 17 19 15 20 18 16 16 19 19 20 21 16 18 22 19 20 19 19 19 18 18 17 17 2 13 
6 3 3 1 4 2 1 3 4 2 3 5 0 5 17 15 16 14 16 13 15 14 13 15 16 12 18 14 8 9 5 10 6 7 6 8 9 8 8 7 11 7 9 12 12 13 12 11 15 10 11 13 14 14 10 12 18 17 16 16 14 13 17 19 18 15 16 15 15 14 22 22 23 23 23 22 24 20 25 23 21 21 24 24 21 22 17 19 23 20 21 20 20 20 19 19 18 18 5 18 
1 2 2 4 3 3 4 2 1 3 4 2 5 0 12 10 11 9 11 8 10 9 8 10 11 7 13 9 9 10 6 11 7 8 7 9 10 9 9 8 12 8 10 13 13 14 13 12 16 11 12 14 15 15 11 13 19 18 17 17 15 14 18 20 19 16 17 16 16 15 17 17 18 18 18 17 19 15 20 18 16 16 19 19 22 23 18 20 24 21 22 21 21 21 20 20 19 19 4 13 
11 14 14 16 13 15 16 14 13 15 14 12 17 12 0 2 3 3 1 4 4 3 4 2 1 5 1 3 13 14 14 15 15 14 13 17 16 15 13 12 16 16 18 19 17 18 21 16 20 19 18 20 19 19 17 17 23 22 21 21 19 18 22 24 23 20 21 20 20 19 11 9 8 10 6 7 7 9 10 12 10 8 9 11 26 27 22 24 28 25 26 25 25 25 24 24 23 23 12 3 
9 12 12 14 11 13 14 12 11 13 12 10 15 10 2 0 1 1 1 2 2 3 2 2 3 3 3 1 11 12 12 13 13 12 11 15 14 13 11 10 14 14 16 17 15 16 19 14 18 17 16 18 17 17 15 15 21 20 19 19 17 16 20 22 21 18 19 18 18 17 9 7 8 8 8 7 9 7 10 10 8 6 9 9 24 25 20 22 26 23 24 23 23 23 22 22 21 21 10 3 
10 13 13 15 12 14 15 13 12 14 13 11 16 11 3 1 0 2 2 3 1 4 3 3 4 4 2 2 10 13 13 14 14 13 12 16 15 14 12 11 13 15 17 18 16 15 20 15 17 18 17 19 16 18 16 14 20 19 18 18 16 15 19 21 20 17 18 17 17 16 8 6 7 7 7 6 8 6 9 9 7 5 8 8 23 24 19 21 25 22 23 22 22 22 21 21 20 20 11 2 
8 11 11 13 10 12 13 11 10 12 11 9 14 9 3 1 2 0 2 3 1 4 1 3 4 2 4 2 10 11 11 12 12 11 10 14 13 12 10 9 13 13 15 16 14 15 18 13 17 16 15 17 16 16 14 14 20 19 18 18 16 15 19 21 20 17 18 17 17 16 8 8 9 9 9 8 10 6 11 9 7 7 10 10 23 24 19 21 25 22 23 22 22 22 21 21 20 20 9 4 
10 13 13 15 12 14 15 13 12 14 13 11 16 11 1 1 2 2 0 3 3 2 3 1 2 4 2 2 12 13 13 14 14 13 12 16 15 14 12 11 15 15 17 18 16 17 20 15 19 18 17 19 18 18 16 16 22 21 20 20 18 17 21 23 22 19 20 19 19 18 10 8 7 9 7 6 8 8 9 11 9 7 8 10 25 26 21 23 27 24 25 24 24 24 23 23 22 22 11 2 
7 10 10 12 9 11 12 10 9 11 10 8 13 8 4 2 3 3 3 0 4 1 2 2 3 1 5 1 13 14 10 15 11 12 11 13 14 13 13 12 16 12 14 17 17 18 17 16 20 15 16 18 19 19 15 17 23 22 21 21 19 18 22 24 23 20 21 20 20 19 11 9 10 10 10 9 11 9 12 12 10 8 11 11 26 27 22 24 28 25 26 25 25 25 24 24 23 23 8 5 
9 12 12 14 11 13 14 12 11 13 12 10 15 10 4 2 1 1 3 4 0 5 2 4 5 3 3 3 9 12 12 13 13 12 11 15 14 13 11 10 12 14 16 17 15 14 19 14 16 17 16 18 15 17 15 13 19 18 17 17 15 14 18 20 19 16 17 16 16 15 7 7 8 8 8 7 9 5 10 8 6 6 9 9 22 23 18 20 24 21 22 21 21 21 20 20 19 19 10 3 
8 11 11 13 10 12 13 11 10 12 11 9 14 9 3 3 4 4 2 1 5 0 3 1 2 2 4 2 14 15 11 16 12 13 12 14 15 14 14 13 17 13 15 18 18 19 18 17 21 16 17 19 20 20 16 18 24 23 22 22 20 19 23 25 24 21 22 21 21 20 12 10 9 11 9 8 10 10 11 13 11 9 10 12 27 28 23 25 29 26 27 26 26 26 25 25 24 24 9 4 
