70
0 5 8.24621 13 19.2094 15 8.60233 12.3693 9.48683 16.4012 12.0416 5.38516 14.0357 12.2066 13.1529 12.6491 4 19.4165 7.28011 11.4018 16.0312 16.2788 2.82843 12.3693 16.4012 14.0357 7.07107 11.7047 6.40312 13.6015 5.83095 8.48528 7.2111 3.60555 10.7703 11.7047 7.07107 3.60555 9.05539 15.2315 8.06226 5.09902 9.21954 10.0499 10.4403 10.6301 13.0384 13.8924 11.3137 7.28011 14.4222 9.21954 10.0499 14 10.4403 5 12.0416 7 6.7082 10 13.6015 10.198 3.60555 13.8924 17.0294 5.38516 12.53 9.05539 8.60233 14.3178 
5 0 6.40312 9.05539 14.4222 10.2956 3.60555 9.05539 7.81025 11.4018 9.48683 10.2956 12.083 7.61577 9.05539 12.0416 4.12311 14.7648 4.47214 10.6301 13.3417 13.0384 5.38516 11.4018 11.6619 11.4018 5 7.07107 2 8.60233 10.8167 3.60555 3 5.09902 6.08276 11.3137 2.23607 8.48528 6.7082 14.8661 4 9.84886 7.07107 8.60233 6 5.65685 13.6015 8.94427 6.40312 7.2111 9.43398 4.24264 7.2111 11.7047 9.89949 8 7.2111 5.65685 10 5.38516 8.94427 6.08276 1.41421 14.2127 12.0416 5.09902 8.24621 7.81025 11.1803 11.0454 
8.24621 6.40312 0 14.3178 17.4642 14.0357 7.07107 14.8661 1.41421 13 15.6525 13 18.3576 12.0416 6.40312 18.4391 10 18.2483 10.8167 17.0294 19.3132 18.6815 6 17.8045 15.1327 17.4642 11.4018 6.7082 8.06226 10.4403 13.0384 8.24621 8.94427 5 6.32456 17.6918 7.61577 10.0499 13.0384 21.2603 9.84886 13.0384 1 15 5.38516 9 19.8494 9.84886 10 13.4536 10.7703 8.06226 2.23607 17.8885 16.2788 13 11 12.0416 14.8661 10.198 13 4.47214 6.40312 20.5183 13.9284 3 13.1529 14.2127 16.5529 16.7631 
13 9.05539 14.3178 0 7.61577 4 7.28011 2 15.5242 8.24621 4 17.2047 6.32456 2.82843 12.8062 9 9.43398 7.2111 5.83095 8.06226 5.65685 4.47214 14.3178 8 5.09902 4.47214 6.40312 10 7.07107 7.2111 18.0278 6.08276 6.08276 14.1421 9.43398 9.05539 7 16.5529 5 11.1803 5.09902 16.4012 14.5602 6.32456 10.2956 5.83095 12.0416 8.60233 5 8.60233 8.06226 6.32456 13.9284 5.38516 8.24621 12.7279 4.24264 7.07107 14.2127 4.12311 3.16228 11.1803 10.198 12 8.06226 14 1.41421 6.7082 13.8924 2.82843 
19.2094 14.4222 17.4642 7.61577 0 4.24264 11.1803 9.48683 18.2483 5.09902 11.4018 24.0416 13.0384 7.07107 13.0384 16.2788 16.2788 1.41421 12.8062 15.5242 11.0454 9.05539 19.7231 15.2971 2.82843 11.0454 13.6015 11.0454 12.8062 7.07107 24.7588 10.8167 12.0416 19.2354 11.1803 16.4924 12.2066 22.8035 12.53 18.0278 11.3137 23.3452 17.2627 13.9284 12.1655 8.94427 19.4165 8 8.06226 16.1245 7 10.2956 16.1245 12.0416 15.8114 20 7.2111 14.4222 21.6333 9.21954 5.65685 13.1529 15.8114 19.2354 4.12311 18.3848 7.2111 14.3178 21.4709 9.05539 
15 10.2956 14.0357 4 4.24264 0 7.28011 6 15 4.47214 8 19.799 10.198 2.82843 10.7703 13 12.0416 4.47214 8.60233 12.0416 8.94427 7.2111 15.6525 12 1.41421 8.24621 9.43398 8.24621 8.60233 4.47214 20.5183 6.7082 7.81025 15.2315 8.06226 13.0384 8.06226 18.6011 8.544 15.1327 7.07107 19.105 14 10.198 9.05539 5.09902 16.0312 5.83095 4.12311 12.083 5 6.32456 13.0384 9.21954 12.1655 15.8114 3.16228 10.2956 17.4929 5 1.41421 10.0499 11.6619 16 4.12311 14.5602 3.16228 10.4403 17.4642 6.32456 
8.60233 3.60555 7.07107 7.28011 11.1803 7.28011 0 8.06226 8.24621 7.81025 9.21954 13.8924 12.0416 5 6.7082 13.0384 7.07107 11.7047 5.38516 11.6619 12.53 11.7047 8.60233 12.2066 8.544 10.8167 6.32456 4.12311 3 5 14.4222 1.41421 3.16228 8.06226 3.16228 12.53 2 12.0416 7.2111 15.8114 3.60555 13.4164 7.28011 9.43398 3.60555 2.23607 15.2315 5.38516 3.16228 9.21954 5.83095 1 6.7082 11.4018 11.1803 11.1803 4.12311 7.28011 13.1529 3.16228 6.08276 4.24264 5 15.6525 8.48528 7.28011 6.08276 8.94427 14 9.84886 
12.3693 9.05539 14.8661 2 9.48683 6 8.06226 0 16.1555 10.198 2 16.1245 4.47214 4.47214 14.1421 7 8.544 8.94427 5.09902 6.08276 4.47214 4 14.0357 6 7.07107 2.82843 5.38516 11.3137 7.07107 8.94427 17 6.7082 6.08276 14 10.6301 7.07107 7.28011 15.8114 3.60555 9.21954 5.09902 15.2643 15.2315 4.47214 11.4018 7.07107 10.0499 10.2956 6.40312 7.07107 9.84886 7.2111 14.7648 3.60555 6.32456 11.4018 5.83095 5.83095 12.7279 5 5.09902 12.2066 10 10 10.0499 14.1421 3.16228 5 12.2066 2 
9.48683 7.81025 1.41421 15.5242 18.2483 15 8.24621 16.1555 0 13.6015 17 14.0357 19.7231 13.1529 6.40312 19.8494 11.4018 19.105 12.2066 18.4391 20.6155 19.9249 7.07107 19.2094 16.0312 18.7883 12.8062 7.28011 9.43398 11.1803 14 9.48683 10.2956 6.08276 7.07107 19.105 8.94427 11 14.4222 22.6716 11.1803 14.1421 1 16.4012 6.08276 10.0499 21.2603 10.4403 11.0454 14.8661 11.4018 9.21954 2.23607 19.2354 17.6918 14.3178 12.0416 13.4536 16.1555 11.4018 14.0357 5.09902 7.81025 21.9317 14.5602 4.12311 14.3178 15.6205 17.8885 18.0278 
16.4012 11.4018 13 8.24621 5.09902 4.47214 7.81025 10.198 13.6015 0 12.1655 21.6333 14.5602 6 8 17.1172 14.3178 6.32456 11.4018 16.0312 13.4164 11.6619 16.2788 16.1245 4.24264 12.6491 12.3693 6.32456 10.2956 2.82843 22.2036 8.06226 9.84886 15.6205 6.7082 17.0294 9.43398 19.8494 12.0416 19.4165 9.48683 21.095 12.6491 14 7.61577 5.83095 20.025 3.16228 5.38516 15.2971 2.23607 7.2111 11.4018 13.6015 16 18.3848 5.09902 13.3417 20.2485 7.28011 5.09902 8.544 12.8062 20.0998 1 14.4222 7.07107 14.0357 20.6155 10.7703 
