20
0 2 12 7 15 15 8 6 19 19 19 21 26 25 16 2 27 22 6 16 
2 0 14 9 17 17 10 8 21 21 21 23 28 27 14 4 29 24 8 18 
12 14 0 5 5 3 10 14 13 13 19 21 20 19 28 10 21 16 6 14 
7 9 5 0 8 8 5 9 14 14 14 16 21 20 23 5 22 17 5 11 
15 17 5 8 0 2 13 17 8 10 22 24 19 20 31 13 20 17 11 17 
15 17 3 8 2 0 13 17 10 10 22 24 19 20 31 13 20 17 9 17 
8 10 10 5 13 13 0 4 11 11 11 13 18 17 18 8 19 14 8 8 
6 8 14 9 17 17 4 0 13 13 13 15 20 19 14 6 21 16 8 10 
19 21 13 14 8 10 11 13 0 2 14 16 11 12 23 19 12 9 19 9 
19 21 13 14 10 10 11 13 2 0 12 14 9 10 21 19 10 7 19 7 
19 21 19 14 22 22 11 13 14 12 0 2 7 6 13 19 8 5 19 5 
21 23 21 16 24 24 13 15 16 14 2 0 5 4 15 21 6 7 21 7 
26 28 20 21 19 19 18 20 11 9 7 5 0 1 20 26 1 4 26 10 
25 27 19 20 20 20 17 19 12 10 6 4 1 0 19 25 2 3 25 9 
16 14 28 23 31 31 18 14 23 21 13 15 20 19 0 18 21 16 22 14 
2 4 10 5 13 13 8 6 19 19 19 21 26 25 18 0 27 22 4 16 
27 29 21 22 20 20 19 21 12 10 8 6 1 2 21 27 0 5 27 11 
22 24 16 17 17 17 14 16 9 7 5 7 4 3 16 22 5 0 22 6 
6 8 6 5 11 9 8 8 19 19 19 21 26 25 22 4 27 22 0 16 
16 18 14 11 17 17 8 10 9 7 5 7 10 9 14 16 11 6 16 0 
