30
0 13 9 9 12 17 4 12 10 12 11 6 16 8 8 14 2 6 15 19 9 12 19 14 12 15 8 8 12 12 
13 0 12 16 5 20 13 5 23 13 10 9 15 21 7 17 15 7 12 22 8 25 12 17 15 4 21 21 15 21 
9 12 0 8 17 8 5 7 15 7 20 3 11 13 17 7 11 15 10 10 4 17 14 5 5 10 13 13 3 13 
9 16 8 0 17 8 5 15 7 15 20 9 19 9 17 15 11 15 18 10 12 9 22 5 13 18 5 5 9 5 
12 5 17 17 0 25 12 10 22 18 9 14 20 20 6 22 14 6 17 27 13 24 17 22 20 9 20 20 20 20 
17 20 8 8 25 0 13 15 11 11 28 11 15 17 25 11 19 23 14 4 12 13 18 3 9 16 11 9 5 9 
4 13 5 5 12 13 0 12 10 12 15 6 16 8 12 12 6 10 15 15 9 12 19 10 10 15 8 8 8 8 
12 5 7 15 10 15 12 0 22 8 13 6 10 20 10 12 14 8 7 17 3 24 7 12 10 3 20 20 10 20 
10 23 15 7 22 11 10 22 0 22 19 16 26 8 16 22 10 16 25 15 19 2 29 10 20 25 2 2 16 4 
12 13 7 15 18 11 12 8 22 0 21 6 4 20 18 4 14 16 3 9 5 24 7 12 2 9 20 20 6 20 
11 10 20 20 9 28 15 13 19 21 0 17 23 11 3 25 9 5 20 30 16 19 20 25 23 12 17 19 23 23 
6 9 3 9 14 11 6 6 16 6 17 0 10 14 14 8 8 12 9 13 3 18 13 8 6 9 14 14 6 14 
16 15 11 19 20 15 16 10 26 4 23 10 0 24 20 4 18 18 3 11 7 28 3 16 6 11 24 24 10 24 
8 21 13 9 20 17 8 20 8 20 11 14 24 0 14 20 6 14 23 19 17 8 27 14 18 23 6 8 14 12 
8 7 17 17 6 25 12 10 16 18 3 14 20 14 0 22 8 2 17 27 13 18 17 22 20 9 14 16 20 20 
14 17 7 15 22 11 12 12 22 4 25 8 4 20 22 0 16 20 5 7 9 24 7 12 2 13 20 20 6 20 
2 15 11 11 14 19 6 14 10 14 9 8 18 6 8 16 0 8 17 21 11 10 21 16 14 17 8 10 14 14 
6 7 15 15 6 23 10 8 16 16 5 12 18 14 2 20 8 0 15 25 11 18 15 20 18 9 14 14 18 18 
15 12 10 18 17 14 15 7 25 3 20 9 3 23 17 5 17 15 0 10 6 27 4 15 5 8 23 23 9 23 
19 22 10 10 27 4 15 17 15 9 30 13 11 19 27 7 21 25 10 0 14 17 14 5 7 18 13 13 7 13 
9 8 4 12 13 12 9 3 19 5 16 3 7 17 13 9 11 11 6 14 0 21 10 9 7 6 17 17 7 17 
12 25 17 9 24 13 12 24 2 24 19 18 28 8 18 24 10 18 27 17 21 0 31 12 22 27 4 4 18 4 
19 12 14 22 17 18 19 7 29 7 20 13 3 27 17 7 21 15 4 14 10 31 0 19 9 8 27 27 13 27 
14 17 5 5 22 3 10 12 10 12 25 8 16 14 22 12 16 20 15 5 9 12 19 0 10 15 8 8 6 8 
12 15 5 13 20 9 10 10 20 2 23 6 6 18 20 2 14 18 5 7 7 22 9 10 0 11 18 18 4 18 
15 4 10 18 9 16 15 3 25 9 12 9 11 23 9 13 17 9 8 18 6 27 8 15 11 0 23 23 11 23 
8 21 13 5 20 11 8 20 2 20 17 14 24 6 14 20 8 14 23 13 17 4 27 8 18 23 0 2 14 6 
8 21 13 5 20 9 8 20 2 20 19 14 24 8 16 20 10 14 23 13 17 4 27 8 18 23 2 0 14 4 
12 15 3 9 20 5 8 10 16 6 23 6 10 14 20 6 14 18 9 7 7 18 13 6 4 11 14 14 0 14 
12 21 13 5 20 9 8 20 4 20 23 14 24 12 20 20 14 18 23 13 17 4 27 8 18 23 6 4 14 0 
