90
0 1 4 4 1 2 3 2 1 3 2 3 8 8 7 7 8 6 7 5 8 7 9 6 17 15 18 12 14 14 13 17 14 16 15 15 18 19 22 20 18 20 17 19 20 21 19 16 23 20 23 22 24 25 26 22 25 22 24 23 15 13 16 14 13 14 15 11 14 17 16 15 25 27 27 28 28 26 24 30 26 27 27 25 17 19 12 14 24 3 
1 0 3 3 2 3 2 3 2 4 1 4 9 9 6 8 7 7 6 6 7 8 8 7 16 14 17 11 13 13 12 16 13 15 14 14 17 18 21 19 17 19 16 18 19 20 18 15 22 19 22 21 23 24 25 21 24 21 23 22 14 12 15 13 12 13 14 10 13 16 15 14 24 26 26 27 27 25 23 29 25 26 26 24 16 18 11 15 23 2 
4 3 0 2 3 4 1 2 5 3 4 1 12 12 9 11 10 10 9 9 10 11 11 10 19 17 20 14 16 16 15 19 16 18 17 17 20 21 24 22 20 22 19 21 22 23 21 18 25 22 25 24 26 27 28 24 27 24 26 25 11 13 14 14 11 12 15 13 16 13 12 13 27 29 29 30 30 28 26 32 28 29 29 27 19 21 14 18 26 5 
4 3 2 0 3 4 1 2 5 3 2 3 12 12 9 11 10 10 7 9 8 11 9 10 17 15 18 12 14 14 13 17 14 16 15 15 18 19 22 20 18 20 17 19 20 21 19 16 23 20 23 22 24 25 26 22 25 22 24 23 11 11 12 12 9 10 13 11 14 13 12 11 25 27 27 28 28 26 24 30 26 27 27 25 17 19 12 18 24 3 
1 2 3 3 0 1 2 1 2 2 3 2 9 9 8 8 9 7 8 6 9 8 10 7 18 16 19 13 15 15 14 18 15 17 16 16 19 20 23 21 19 21 18 20 21 22 20 17 24 21 24 23 25 26 27 23 26 23 25 24 14 12 15 13 12 13 14 12 15 16 15 14 26 28 28 29 29 27 25 31 27 28 28 26 18 20 13 15 25 4 
2 3 4 4 1 0 3 2 1 1 4 3 10 8 9 7 10 8 9 7 10 9 11 6 19 17 20 14 16 16 15 19 16 18 17 17 20 21 24 22 20 22 19 21 22 23 21 18 25 22 25 24 26 27 28 24 27 24 26 25 15 13 16 14 13 14 15 13 16 17 16 15 27 29 29 30 30 28 26 32 28 29 29 27 19 21 14 14 26 5 
3 2 1 1 2 3 0 1 4 2 3 2 11 11 8 10 9 9 8 8 9 10 10 9 18 16 19 13 15 15 14 18 15 17 16 16 19 20 23 21 19 21 18 20 21 22 20 17 24 21 24 23 25 26 27 23 26 23 25 24 12 12 13 13 10 11 14 12 15 14 13 12 26 28 28 29 29 27 25 31 27 28 28 26 18 20 13 17 25 4 
2 3 2 2 1 2 1 0 3 1 4 1 10 10 9 9 10 8 9 7 10 9 11 8 19 17 20 14 16 16 15 19 16 18 17 17 20 21 24 22 20 22 19 21 22 23 21 18 25 22 25 24 26 27 28 24 27 24 26 25 13 13 14 14 11 12 15 13 16 15 14 13 27 29 29 30 30 28 26 32 28 29 29 27 19 21 14 16 26 5 
1 2 5 5 2 1 4 3 0 2 3 4 9 7 8 6 9 7 8 6 9 8 10 5 18 16 19 13 15 15 14 18 15 17 16 16 19 20 23 21 19 21 18 20 21 22 20 17 24 21 24 23 25 26 27 23 26 23 25 24 16 14 17 15 14 15 16 12 15 18 17 16 26 28 28 29 29 27 25 31 27 28 28 26 18 20 13 13 25 4 
3 4 3 3 2 1 2 1 2 0 5 2 11 9 10 8 11 9 10 8 11 10 12 7 20 18 21 15 17 17 16 20 17 19 18 18 21 22 25 23 21 23 20 22 23 24 22 19 26 23 26 25 27 28 29 25 28 25 27 26 14 14 15 15 12 13 16 14 17 16 15 14 28 30 30 31 31 29 27 33 29 30 30 28 20 22 15 15 27 6 
2 1 4 2 3 4 3 4 3 5 0 5 10 10 7 9 8 8 5 7 6 9 7 8 15 13 16 10 12 12 11 15 12 14 13 13 16 17 20 18 16 18 15 17 18 19 17 14 21 18 21 20 22 23 24 20 23 20 22 21 13 11 14 12 11 12 13 9 12 15 14 13 23 25 25 26 26 24 22 28 24 25 25 23 15 17 10 16 22 1 
3 4 1 3 2 3 2 1 4 2 5 0 11 11 10 10 11 9 10 8 11 10 12 9 20 18 21 15 17 17 16 20 17 19 18 18 21 22 25 23 21 23 20 22 23 24 22 19 26 23 26 25 27 28 29 25 28 25 27 26 12 14 15 15 12 13 16 14 17 14 13 14 28 30 30 31 31 29 27 33 29 30 30 28 20 22 15 17 27 6 
8 9 12 12 9 10 11 10 9 11 10 11 0 2 3 3 2 2 5 3 4 1 3 4 9 7 10 10 10 12 9 11 8 8 13 11 10 11 14 12 10 12 9 11 12 13 11 8 15 12 15 14 16 17 18 14 17 14 16 15 23 21 24 22 21 22 23 19 22 25 24 23 17 19 19 20 20 18 16 22 18 19 19 17 17 25 20 6 16 9 
