30
0 1 1.41421 1 14.8661 13.6015 15.2971 15.5242 10.198 10.4403 9.21954 7.61577 13.1529 13.0384 12.3693 13.3417 15.6525 14.3178 13 13.0384 16.0312 15.2971 17.4642 18.1108 22.0227 20.5183 22.6716 22.2036 18.3576 12.0416 
1 0 2.23607 2 14.5602 13.3417 15.1327 15.2971 9.21954 9.48683 8.24621 6.7082 12.1655 12.0416 11.4018 12.3693 14.7648 13.4164 12.083 12.2066 15.0333 14.3178 16.4924 17.1172 21.2603 19.799 21.9317 21.4009 17.8885 11.4018 
1.41421 2.23607 0 1 16.1555 14.8661 16.4924 16.7631 11.4018 11.7047 10.4403 8.94427 14.0357 14 13.1529 14.1421 17 15.6525 14.3178 14.4222 17.1172 16.4924 18.6815 19.2354 23.4307 21.9317 24.0832 23.6008 19.7231 13.4536 
1 2 1 0 15.2315 13.9284 15.5242 15.8114 11.1803 11.4018 10.198 8.544 14.1421 14.0357 13.3417 14.3178 16.5529 15.2315 13.9284 13.8924 17.0294 16.2788 18.4391 19.105 22.8035 21.2603 23.4307 23.0217 18.868 12.7279 
14.8661 14.5602 16.1555 15.2315 0 1.41421 2.23607 1.41421 13 12.083 12.6491 11.1803 17.8885 17 18.3848 18.7883 11.4018 11.3137 11.4018 9.21954 17.0294 14.8661 15.6205 17.6918 12 10 12.0416 13.0384 4.47214 5.83095 
13.6015 13.3417 14.8661 13.9284 1.41421 0 2.23607 2 12.53 11.6619 12.083 10.4403 17.4929 16.6433 17.8885 18.3576 11.6619 11.4018 11.3137 9.21954 16.9706 14.8661 15.8114 17.8045 13.0384 11.0454 13.1529 14 5.83095 5.65685 
15.2971 15.1327 16.4924 15.5242 2.23607 2.23607 0 1 14.7648 13.8924 14.3178 12.6491 19.7231 18.868 20.1246 20.5913 13.6015 13.4536 13.4536 11.3137 19.105 16.9706 17.8045 19.8494 14.0357 12.0416 14 15.1327 6.08276 7.81025 
15.5242 15.2971 16.7631 15.8114 1.41421 2 1 0 14.3178 13.4164 13.9284 12.3693 19.2354 18.3576 19.6977 20.1246 12.8062 12.7279 12.8062 10.6301 18.4391 16.2788 17.0294 19.105 13.0384 11.0454 13 14.1421 5.09902 7.2111 
10.198 9.21954 11.4018 11.1803 13 12.53 14.7648 14.3178 0 1 1 3.16228 5 4.24264 5.38516 5.83095 6.40312 5 3.60555 5.09902 6.08276 5.09902 7.28011 8 13.8924 13 14.7648 13.6015 14.0357 7.28011 
10.4403 9.48683 11.7047 11.4018 12.083 11.6619 13.8924 13.4164 1 0 1.41421 3 5.83095 5 6.32456 6.7082 5.65685 4.24264 2.82843 4.12311 6.32456 5 7.07107 8.06226 13.0384 12.083 13.8924 12.8062 13.0384 6.32456 
9.21954 8.24621 10.4403 10.198 12.6491 12.083 14.3178 13.9284 1 1.41421 0 2.23607 5.65685 5 5.83095 6.40312 7.07107 5.65685 4.24264 5.38516 7.07107 6.08276 8.24621 9 14.4222 13.4164 15.2643 14.2127 14 7.07107 
7.61577 6.7082 8.94427 8.544 11.1803 10.4403 12.6491 12.3693 3.16228 3 2.23607 0 7.81025 7.2111 7.81025 8.48528 8.06226 6.7082 5.38516 5.65685 9.21954 8 10.0499 11.0454 14.8661 13.6015 15.6205 14.8661 13.1529 6.08276 
13.1529 12.1655 14.0357 14.1421 17.8885 17.4929 19.7231 19.2354 5 5.83095 5.65685 7.81025 0 1 1.41421 1 9.05539 8 7.07107 9.21954 4.24264 5.38516 7.2111 6.40312 16.4924 16.1245 17.4642 15.8114 18.4391 12.083 
13.0384 12.0416 14 14.0357 17 16.6433 18.868 18.3576 4.24264 5 5 7.2111 1 0 2.23607 2 8.06226 7 6.08276 8.24621 3.60555 4.47214 6.40312 5.83095 15.5242 15.1327 16.4924 14.8661 17.4642 11.1803 
12.3693 11.4018 13.1529 13.3417 18.3848 17.8885 20.1246 19.6977 5.38516 6.32456 5.83095 7.81025 1.41421 2.23607 0 1 10.198 9.05539 8 10.0499 5.65685 6.7082 8.60233 7.81025 17.72 17.2627 18.6815 17.088 19.2354 12.6491 
13.3417 12.3693 14.1421 14.3178 18.7883 18.3576 20.5913 20.1246 5.83095 6.7082 6.40312 8.48528 1 2 1 0 10.0499 9 8.06226 10.198 5 6.32456 8.06226 7.07107 17.4642 17.1172 18.4391 16.7631 19.4165 13 
