10
0 9.43398 5.83095 16.5529 9.05539 18.0278 17.4642 15.8114 21.2603 4.12311 
9.43398 0 5 7.28011 8.06226 10.198 12.6491 8.06226 12.53 5.65685 
5.83095 5 0 12.1655 4.47214 12.2066 12.0416 10 15.5563 4.12311 
16.5529 7.28011 12.1655 0 14.1421 9.43398 14.8661 8.48528 9.05539 12.53 
9.05539 8.06226 4.47214 14.1421 0 10.8167 8.544 8.94427 14.7648 8.544 
18.0278 10.198 12.2066 9.43398 10.8167 0 6.32456 2.23607 4.12311 15.2315 
17.4642 12.6491 12.0416 14.8661 8.544 6.32456 0 6.40312 10.0499 16 
15.8114 8.06226 10 8.48528 8.94427 2.23607 6.40312 0 5.83095 13 
21.2603 12.53 15.5563 9.05539 14.7648 4.12311 10.0499 5.83095 0 18.0278 
4.12311 5.65685 4.12311 12.53 8.544 15.2315 16 13 18.0278 0 
