80
0 3 11.7047 19.2094 2 17 5.83095 6.08276 14.1421 12.2066 17 16 18.868 15.2971 17.088 13.6015 3.60555 18.2483 13 9.84886 17.1172 18.0278 16.2788 20.2237 5 4.12311 12.0416 12 15.8114 14.0357 18.7883 1.41421 15.2971 18.4391 16.4924 8.544 10.7703 16.1245 16.1245 12.6491 16.7631 14.1421 14.1421 16.4924 14.4222 17.4929 4.47214 12.0416 14.3178 4.12311 10.2956 9.48683 12 24.0832 18.0278 18.1108 11.0454 20.5913 3.16228 11 17.2047 8 6.40312 4.47214 21.9317 8.544 3.16228 8.544 14 4.24264 10 16.0312 22.6716 11.1803 10.198 17.0294 18.1108 15.8114 7.28011 10.0499 
3 0 8.94427 16.9706 3.60555 14.4222 5 3.16228 14.0357 10.7703 15.8114 16.2788 17.4642 15 16.2788 13.0384 3.16228 15.2971 12.1655 9.05539 14.1421 16.5529 13.3417 17.2627 4 4.47214 10 9 13.4536 14.1421 16.1245 2.23607 12.3693 15.5242 13.6015 5.83095 10.0499 13.1529 13.1529 12.0416 16.1245 11.1803 12.2066 13.6015 13 16.1555 2.23607 10.2956 11.4018 1.41421 7.81025 9 12.3693 21.9317 15.2315 15.1327 8.06226 18.0278 1 11.4018 14.8661 8.544 4.47214 4.12311 19.8494 5.83095 3.60555 8 11 3 8.544 13.0384 20.5183 11.0454 7.28011 14.0357 15.1327 14.3178 4.47214 10.198 
11.7047 8.94427 0 8.94427 11.1803 5.65685 8.06226 5.83095 13.4536 7.2111 11.4018 16.2788 12.0416 13.6015 13 11.4018 9.05539 7.07107 10 8.60233 6.32456 11.0454 8.60233 9.05539 11.3137 12.8062 4.47214 4.12311 5.38516 14.1421 7.2111 10.4403 8.06226 10.6301 9.43398 7.61577 9.21954 5.38516 7.81025 10.6301 13.4164 3.60555 6.08276 5 8.544 11.1803 7.28011 5.83095 7.61577 7.61577 2.23607 9.43398 13.6015 13.8924 6.32456 9.21954 5 9.21954 9.43398 13.0384 6.7082 11.7047 10 9 12.083 3.16228 10.0499 8.94427 5 10.6301 6.40312 7.07107 12.53 11.4018 6.08276 6.7082 7.28011 9.21954 7.2111 11.6619 
19.2094 16.9706 8.94427 0 18.0278 4 13.8924 14.2127 13.1529 8.24621 7.61577 15.5242 6.40312 12.3693 9.84886 11.0454 15.8114 9.48683 10 11.4018 10.198 5.83095 15.0333 10.2956 20 21.2603 7.2111 12.3693 3.60555 14.1421 4.47214 17.8045 15 16.2788 16.0312 16.5529 11.1803 10.0499 14.0357 11 10.7703 10.0499 5.38516 8.06226 7 6.7082 14.8661 7.61577 15.0333 15.5563 9.21954 12.3693 15 5 6.32456 14.3178 13.6015 3.60555 17.6918 15.0333 2.23607 15.5242 18.868 15.2643 3.16228 11.4018 16.6433 12.6491 12.0416 19.2094 9.84886 13.0384 3.60555 13.0384 14.8661 11.1803 10.4403 6.08276 16.1245 14.1421 
2 3.60555 11.1803 18.0278 0 16.1555 4.24264 6.08276 12.1655 10.6301 15.2643 14 17.2047 13.3417 15.2315 11.7047 2.23607 18.0278 11.1803 8.06226 17 16.4012 16.7631 20.025 6.7082 6.08276 10.8167 12.1655 14.7648 12.0416 18.0278 1.41421 15.8114 18.9737 17.088 9.43398 8.94427 16 16.4924 10.7703 14.8661 14 12.8062 16.1245 12.8062 15.8114 4 10.6301 14.8661 4.12311 9.48683 7.61577 10 22.8035 17.4642 18.4391 11.4018 19.6977 4.24264 9 16.1245 6 7.81025 2.82843 20.6155 8.06226 1.41421 6.7082 14.1421 5.83095 8.48528 16.2788 21.4009 9.21954 10.7703 17.0294 18 14.2127 8.06226 8.06226 
17 14.4222 5.65685 4 16.1555 0 12.3693 11.4018 14.3178 8.24621 9.89949 17 9.43398 13.8924 12.0416 12.083 13.9284 5.83095 10.7703 11.0454 6.32456 8.60233 11.0454 7.07107 16.9706 18.4391 6 8.544 2.23607 15.2315 2 15.6525 11 12.3693 12.0416 13.0384 11.1803 6.08276 10.0499 11.7047 12.8062 6.08276 5.38516 4.12311 8.06226 9.21954 12.53 7.07107 11.0454 13.0384 6.7082 12.0416 15.5242 8.544 2.82843 10.4403 9.84886 3.60555 15 15.2971 2.23607 15 15.6205 13.6015 7.07107 8.60233 14.8661 12 8.06226 16.2788 9 9.05539 7.28011 13.3417 11.1803 7.28011 6.7082 7.81025 12.8062 14.1421 
5.83095 5 8.06226 13.8924 4.24264 12.3693 0 5 9.05539 6.40312 11.1803 11.4018 13.0384 10 11.4018 8.06226 2.23607 15.1327 7.28011 4.12311 14.3178 12.2066 15.2643 17.1172 9 9.21954 6.7082 10.2956 10.7703 9.21954 14.3178 4.47214 14.4222 17.4929 15.8114 9.43398 5.09902 13.3417 14.7648 7.07107 11.1803 11.4018 8.60233 13.0384 8.60233 11.6619 3.16228 6.40312 13.6015 4.12311 6 4 7.61577 18.6011 14.0357 16.5529 10 15.8114 6 6.7082 12.083 4.24264 9.21954 1.41421 16.4012 5.38516 2.82843 3 12.083 8 4.24264 14.3178 17.2047 6.08276 9.89949 14.5602 15.2971 10 8.06226 5.38516 
6.08276 3.16228 5.83095 14.2127 6.08276 11.4018 5 0 13.6015 9.05539 14.1421 16.1555 15.5242 14.3178 15 12.1655 4.47214 12.1655 11.0454 8.24621 11.0454 14.5602 10.7703 14.1421 5.83095 7.07107 7.61577 6.08276 10.6301 13.9284 13.0384 5 9.84886 13 11.1803 4.47214 9.21954 10.0499 10.4403 11.1803 15.0333 8.06226 9.84886 10.4403 11.1803 14.3178 2.23607 8.24621 8.94427 2 5 8.544 12.53 19.2094 12.083 12.3693 5.38516 15 3.60555 11.6619 12.0416 9.21954 5.09902 5 17.2047 2.82843 5.38516 7.61577 8.06226 5 7 10.198 17.8045 10.7703 5 11 12.0416 12.3693 3.16228 10.2956 
14.1421 14.0357 13.4536 13.1529 12.1655 14.3178 9.05539 13.6015 0 6.40312 6.08276 2.82843 8.24621 1.41421 4.47214 2.23607 11 19.4165 3.60555 5.38516 19.2094 8.06226 22.0227 21.095 18.0278 18.0278 9.21954 17.2047 12.083 1 16.1555 13.0384 21.4009 24.0832 22.8035 18.0278 4.47214 18.4391 21.2603 2.82843 3.60555 16.9706 8.94427 17.2047 6.32456 7.07107 12.1655 7.81025 20.8087 13.1529 11.4018 5.09902 2.82843 16.1245 17 22.6274 17.4929 16.4924 15.0333 3.60555 12.6491 6.32456 18.2483 10 14.0357 12.53 11.0454 6.08276 18.4391 17.0294 7.2111 20.5183 15.0333 3 17.8885 19.8494 20 7.07107 16.7631 4.12311 
12.2066 10.7703 7.2111 8.24621 10.6301 8.24621 6.40312 9.05539 6.40312 0 5.09902 9.21954 6.7082 6.40312 6.08276 4.24264 8.60233 13.0384 2.82843 3.16228 12.8062 5.83095 15.8114 14.7648 14.5602 15.2315 2.82843 11.1803 6.08276 7.2111 10.198 10.8167 15.2643 17.8045 16.6433 13.0384 3 12.0416 15 3.60555 6.32456 10.6301 3 10.8167 2.23607 5.38516 8.544 1.41421 14.7648 9.48683 5.38516 4.12311 7.28011 12.53 10.7703 16.2788 11.7047 11 11.7047 7.07107 7 7.28011 14.1421 7.81025 10.2956 7.07107 9.21954 4.47214 12.2066 13.6015 2.23607 14.2127 11.1803 5.09902 12.3693 13.4536 13.6015 3.60555 12 6 
