20
0 20 10 8 15 12 7 9 10 7 4 3 20 9 14 23 12 19 13 9 
20 0 10 12 15 32 13 29 12 21 24 23 20 11 6 3 8 13 19 25 
10 10 0 12 5 22 9 19 16 11 14 13 10 9 6 13 8 9 9 15 
8 12 12 0 17 20 3 17 4 9 12 11 22 3 6 15 4 21 15 13 
15 15 5 17 0 17 14 14 21 8 13 12 5 14 11 18 13 4 4 10 
12 32 22 20 17 0 19 7 22 11 8 9 12 21 26 35 24 21 13 7 
7 13 9 3 14 19 0 16 7 8 11 10 19 2 7 16 5 18 12 12 
9 29 19 17 14 7 16 0 19 8 5 6 17 18 23 32 21 18 10 6 
10 12 16 4 21 22 7 19 0 13 14 13 26 7 10 15 8 25 19 15 
7 21 11 9 8 11 8 8 13 0 5 4 13 10 15 24 13 12 6 4 
4 24 14 12 13 8 11 5 14 5 0 1 18 13 18 27 16 17 11 7 
3 23 13 11 12 9 10 6 13 4 1 0 17 12 17 26 15 16 10 6 
20 20 10 22 5 12 19 17 26 13 18 17 0 19 16 23 18 9 7 11 
9 11 9 3 14 21 2 18 7 10 13 12 19 0 5 14 3 18 12 14 
14 6 6 6 11 26 7 23 10 15 18 17 16 5 0 9 2 15 13 19 
23 3 13 15 18 35 16 32 15 24 27 26 23 14 9 0 11 14 22 28 
12 8 8 4 13 24 5 21 8 13 16 15 18 3 2 11 0 17 11 17 
19 13 9 21 4 21 18 18 25 12 17 16 9 18 15 14 17 0 8 14 
13 19 9 15 4 13 12 10 19 6 11 10 7 12 13 22 11 8 0 6 
9 25 15 13 10 7 12 6 15 4 7 6 11 14 19 28 17 14 6 0 
