50
0 2.23607 2.23607 1 1.41421 1 1.41421 11.0454 12.0416 14.0357 11.0454 14.1421 12.1655 14 7.81025 4.24264 5.65685 7.2111 7.81025 6.40312 7.2111 10.2956 9.43398 8.06226 9.21954 10.7703 7.61577 9.48683 18.6011 19.4165 21.4009 20 20.2485 22.8035 19.8494 19.2354 17 19.7231 19.3132 19.6977 16.5529 17.4642 20.5183 18.6011 20.6155 19.4165 22.2036 20 21.2603 23.6008 
2.23607 0 1.41421 2 2.23607 1.41421 3 9 10 12 9.21954 12.0416 10.0499 12.0416 5.83095 2.23607 3.60555 5 5.65685 4.24264 5.38516 8.06226 7.2111 5.83095 7.07107 8.544 5.38516 7.28011 16.4012 17.2047 19.2094 17.8045 18.0278 20.6155 17.6918 17.4642 15.2315 17.8885 17.72 18.0278 14.8661 15.8114 18.4391 16.6433 18.6011 17.4929 20.2485 18.0278 19.2094 21.4009 
2.23607 1.41421 0 1.41421 3 2 2.23607 10.0499 11.0454 13.0384 10.4403 13 11 13.1529 5.65685 2.23607 3.60555 5.38516 5.83095 4.47214 5 8.544 7.61577 6.32456 7.2111 9.21954 6.08276 8.06226 16.6433 17.4929 19.4165 18.0278 18.3576 20.8087 17.8045 17 14.7648 17.4929 17.088 17.4642 14.3178 15.2315 18.3848 16.4012 18.4391 17.2047 20 17.8045 19.105 21.6333 
1 2 1.41421 0 2.23607 1.41421 1 11 12 14 11.1803 14.0357 12.0416 14.0357 7.07107 3.60555 5 6.7082 7.2111 5.83095 6.40312 9.84886 8.94427 7.61577 8.60233 10.4403 7.28011 9.21954 18.0278 18.868 20.8087 19.4165 19.7231 22.2036 19.2094 18.3576 16.1245 18.868 18.3848 18.7883 15.6525 16.5529 19.799 17.8045 19.8494 18.6011 21.4009 19.2094 20.5183 23.0217 
1.41421 2.23607 3 2.23607 0 1 2.82843 10.198 11.1803 13.1529 10 13.3417 11.4018 13.0384 8.06226 4.47214 5.83095 7.07107 7.81025 6.40312 7.61577 10 9.21954 7.81025 9.21954 10.2956 7.2111 8.94427 18.4391 19.2094 21.2603 19.8494 20 22.6716 19.799 19.6977 17.4642 20.1246 19.9249 20.2485 17.088 18.0278 20.6155 18.868 20.8087 19.7231 22.4722 20.2485 21.4009 23.4307 
1 1.41421 2 1.41421 1 0 2.23607 10.0499 11.0454 13.0384 10.0499 13.1529 11.1803 13 7.2111 3.60555 5 6.40312 7.07107 5.65685 6.7082 9.43398 8.60233 7.2111 8.48528 9.84886 6.7082 8.544 17.8045 18.6011 20.6155 19.2094 19.4165 22.0227 19.105 18.7883 16.5529 19.2354 18.9737 19.3132 16.1555 17.088 19.8494 18.0278 20 18.868 21.6333 19.4165 20.6155 22.8035 
1.41421 3 2.23607 1 2.82843 2.23607 0 12 13 15 12.1655 15.0333 13.0384 15.0333 7.81025 4.47214 5.83095 7.61577 8.06226 6.7082 7.07107 10.7703 9.84886 8.544 9.43398 11.4018 8.24621 10.198 18.868 19.7231 21.6333 20.2485 20.5913 23.0217 20 18.868 16.6433 19.4165 18.7883 19.2354 16.1245 17 20.5183 18.4391 20.5183 19.2094 22.0227 19.8494 21.2132 23.8537 
11.0454 9 10.0499 11 10.198 10.0499 12 0 1 3 2 3.16228 1.41421 3.16228 7.81025 8.24621 7.61577 5.83095 6.40312 6.7082 8.60233 4.47214 5 5 6.40312 3.16228 4.47214 2.82843 10.7703 11.1803 13.4164 12.083 11.6619 14.7648 12.6491 16.1245 14.3178 16.0312 17.4642 17.2627 14.5602 15.5242 14.3178 14 15.1327 15 17.1172 15.0333 15.2971 15.2643 
12.0416 10 11.0454 12 11.1803 11.0454 13 1 0 2 2.23607 2.23607 1 2.23607 8.60233 9.21954 8.544 6.7082 7.2111 7.61577 9.43398 5 5.65685 5.83095 7.07107 3.60555 5.38516 3.60555 10.4403 10.7703 13 11.7047 11.1803 14.3178 12.3693 16.2788 14.5602 16.1245 17.72 17.4642 14.8661 15.8114 14.1421 14.0357 15.0333 15.0333 17.0294 15 15.1327 14.7648 
14.0357 12 13.0384 14 13.1529 13.0384 15 3 2 0 3.60555 1 2.23607 1 10.2956 11.1803 10.4403 8.544 8.94427 9.48683 11.1803 6.40312 7.2111 7.61577 8.60233 5 7.28011 5.38516 10.0499 10.198 12.3693 11.1803 10.4403 13.6015 12.0416 16.7631 15.2315 16.4924 18.3848 18.0278 15.6525 16.5529 14 14.3178 15.0333 15.2971 17.0294 15.1327 15 13.9284 
