60
0 1 3.16228 3 4.24264 1.41421 3.16228 2.23607 10.8167 12.0416 11.6619 9.43398 13.6015 11.3137 11.4018 10.2956 17.8045 18.4391 15.6205 17.4929 18.0278 18.6011 17.6918 15.8114 14.3178 15.1327 15.2971 13.0384 15.5242 14.0357 14.5602 14.1421 23.4307 24.2074 24.0832 23.0217 21.9317 20.6155 22.6716 22.2036 16.4924 19.0263 18.2483 16.2788 18.1108 18.4391 19.2354 19.4165 18.1108 19.105 17 19.0263 18.0278 17.0294 16.2788 19.2354 13.3417 13.0384 17.2627 16.6433 
1 0 3 2 3.60555 1 2.23607 1.41421 10 11.3137 10.8167 8.60233 12.8062 10.6301 10.6301 9.43398 17.0294 17.6918 14.8661 16.6433 17.2047 17.8045 16.9706 15 13.3417 14.1421 14.3178 12.0416 14.5602 13.0384 13.6015 13.1529 22.6716 23.4307 23.3452 22.2036 21.2132 19.8494 21.9317 21.4009 15.5242 18.0278 17.2627 15.2971 17.1172 17.4642 18.2483 18.4391 17.1172 18.1108 16 18.0278 17.0294 16.0312 15.2971 18.2483 13.1529 12.2066 16.2788 15.8114 
3.16228 3 0 3.60555 2 2 2.82843 2.23607 12.0416 13.6015 12.7279 10.6301 14.8661 13.0384 12.8062 11.3137 19.105 19.8494 17.0294 18.4391 19.105 19.799 19.2094 16.9706 14.3178 14.8661 15.2315 12.6491 15.6525 13.6015 14.7648 13.9284 24.7588 25.4558 25.4951 24.0832 23.4307 21.9317 24.0832 23.3452 16.5529 18.4391 18.0278 16.1555 17.72 18.3848 18.9737 19.3132 17.0294 18.0278 16.2788 18.1108 17.1172 16.1245 15 18 16.1245 14.1421 16 17.6918 
3 2 3.60555 0 3 2.23607 1 1.41421 8.48528 10 9.21954 7.07107 11.3137 9.43398 9.21954 7.81025 15.5563 16.2788 13.4536 15 15.6205 16.2788 15.6205 13.4536 11.4018 12.1655 12.3693 10.0499 12.6491 11.0454 11.7047 11.1803 21.2132 21.9317 21.9317 20.6155 19.8494 18.3848 20.5183 19.8494 13.6015 16.0312 15.2971 13.3417 15.1327 15.5242 16.2788 16.4924 15.1327 16.1245 14 16.0312 15.0333 14.0357 13.3417 16.2788 13 10.6301 14.3178 14.2127 
4.24264 3.60555 2 3 0 2.82843 2 2.23607 10.8167 12.53 11.4018 9.43398 13.6015 12.083 11.6619 10 17.8045 18.6011 15.8114 16.9706 17.6918 18.4391 18.0278 15.6205 12.53 13 13.4164 10.7703 13.8924 11.7047 13.0384 12.083 23.4307 24.0832 24.2074 22.6274 22.2036 20.6155 22.8035 21.9317 14.7648 16.4924 16.1555 14.3178 15.8114 16.5529 17.088 17.4642 15.0333 16.0312 14.3178 16.1245 15.1327 14.1421 13 16 16 12.8062 14 16.2788 
1.41421 1 2 2.23607 2.82843 0 2 1 10.6301 12.0416 11.4018 9.21954 13.4536 11.4018 11.3137 10 17.6918 18.3848 15.5563 17.2047 17.8045 18.4391 17.6918 15.6205 13.6015 14.3178 14.5602 12.1655 14.8661 13.1529 13.9284 13.3417 23.3452 24.0832 24.0416 22.8035 21.9317 20.5183 22.6274 22.0227 15.8114 18.1108 17.4642 15.5242 17.2627 17.72 18.4391 18.6815 17.0294 18.0278 16.0312 18 17 16 15.1327 18.1108 14.1421 12.8062 16.1245 16.4012 
3.16228 2.23607 2.82843 1 2 2 0 1 9.21954 10.8167 9.89949 7.81025 12.0416 10.2956 10 8.48528 16.2788 17.0294 14.2127 15.6205 16.2788 16.9706 16.4012 14.1421 11.7047 12.3693 12.6491 10.198 13 11.1803 12.083 11.4018 21.9317 22.6274 22.6716 21.2603 20.6155 19.105 21.2603 20.5183 13.9284 16.1245 15.5242 13.6015 15.2971 15.8114 16.4924 16.7631 15.0333 16.0312 14.0357 16 15 14 13.1529 16.1245 14 11.3137 14.1421 14.8661 
2.23607 1.41421 2.23607 1.41421 2.23607 1 1 0 9.89949 11.4018 10.6301 8.48528 12.7279 10.8167 10.6301 9.21954 16.9706 17.6918 14.8661 16.4012 17.0294 17.6918 17.0294 14.8661 12.6491 13.3417 13.6015 11.1803 13.9284 12.1655 13 12.3693 22.6274 23.3452 23.3452 22.0227 21.2603 19.799 21.9317 21.2603 14.8661 17.1172 16.4924 14.5602 16.2788 16.7631 17.4642 17.72 16.0312 17.0294 15.0333 17 16 15 14.1421 17.1172 14.0357 12.0416 15.1327 15.6205 
10.8167 10 12.0416 8.48528 10.8167 10.6301 9.21954 9.89949 0 2 1 1.41421 2.82843 2.23607 1 1 7.07107 7.81025 5 6.7082 7.2111 7.81025 7.2111 5 5.83095 7.2111 6.7082 6.40312 6.32456 7.07107 5.38516 6.40312 12.7279 13.4536 13.4536 12.2066 11.4018 9.89949 12.0416 11.4018 7.28011 11.1803 9.48683 7.61577 9.84886 9.21954 10.4403 10.198 12.0416 12.8062 10 12.2066 11.4018 10.6301 11.4018 13.4536 9.21954 2.23607 12.0416 5.83095 
12.0416 11.3137 13.6015 10 12.53 12.0416 10.8167 11.4018 2 0 2.23607 3.16228 2 1 1 3 5.83095 6.40312 3.60555 6.08276 6.32456 6.7082 5.65685 4.12311 7.07107 8.48528 7.81025 8.06226 7.2111 8.60233 6.40312 7.81025 11.4018 12.2066 12.0416 11.1803 9.89949 8.60233 10.6301 10.2956 8.06226 12.2066 10.2956 8.60233 10.8167 9.84886 11.1803 10.7703 13.4536 14.1421 11.3137 13.4536 12.7279 12.0416 13.0384 14.8661 7.81025 2.23607 13.6015 5.09902 
