10
0 1.41421 14.1421 21.4709 16.5529 6.32456 17.72 8.06226 13.6015 18.2483 
1.41421 0 12.7279 20.1246 16.1245 7.07107 17.088 7.28011 13.4536 17.4642 
14.1421 12.7279 0 9 17.72 17.8885 16.5529 11.1803 18.0278 15.2643 
21.4709 20.1246 9 0 17.4642 23.3452 15.1327 20.0998 19.6977 13.0384 
16.5529 16.1245 17.72 17.4642 0 13.0384 2.82843 21.9317 4.12311 5 
6.32456 7.07107 17.8885 23.3452 13.0384 0 15.0333 14.3178 9.21954 16.2788 
17.72 17.088 16.5529 15.1327 2.82843 15.0333 0 22.2036 6.7082 2.23607 
8.06226 7.28011 11.1803 20.0998 21.9317 14.3178 22.2036 0 20 21.9545 
13.6015 13.4536 18.0278 19.6977 4.12311 9.21954 6.7082 20 0 8.60233 
18.2483 17.4642 15.2643 13.0384 5 16.2788 2.23607 21.9545 8.60233 0 
